"","coder","date","newsnm","rptmm","rptdd","rptyy","evmm","evdd","evyy","days","eventid","stories","title","followup","who","what","where","against","purpose","whysm","page","section","paragrph","staten","state1","state2","state3","state4","cityn","city1","city2","neighn","neighbr","particd","particex","partices","groups","igrp1c1","igrp1c2","igrp2c1","igrp2c2","igrp3c1","igrp3c2","targd","targnum","targ1","targ2","ertarg1","ertarg2","smonamed","smonum","smoname1","smoname2","smoname3","smoname4","claim1","val1","claim2","val2","claim3","val3","claim4","val4","form1","form2","form3","form4","act1","act2","act3","act4","viold","violtype","counterd","police1","police2","police3","police4","arrestd","arrestex","arrestes","propdam","dollars","injury","deaths","d_eventid","flag_followup","injprot","injprot_est","injby","injby_est","injpol","injpol_est","injoth","injoth_est","dthprot","dthprot_est","dthby","dthby_est","dthpol","dthpol_est","dthoth","dthoth_est","agenda_code"
"19234","CARISSA WONG",2002-06-19,"NYT",3,16,1987,3,NA,1983,1,8703048,1,"AIDS, AN UNKNOWN DISEASE BEFORE 1981, GROWS INTO A WORLDWIDE SCOURGE",1,"AIDS VICTIMS","MARCHED IN THE GAY FREEDOM DAY PARADE","NYC","GOVERNMENT","TO DRAW ATTENTION TO THE FACT THAT THE NUMBER OF AIDS VICTIMS IN INCREASING","COLLECTIVE, CLAIMS MADE, PUBLIC",17,"A",21,1,"NY","","","",1,"NEW YORK","",NA,"",0,NA,3,1,1800,400,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,"PEOPLE WITH AIDS ALLIANCE","","","",1400,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,20,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"D-8306067",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331
"7671","SHELLY KIRBY",NA,"NYT",5,26,1969,5,25,1969,1,6905109,4,"Welfare Militants Disrupt",0,"several hundred angry young militants, mostly white  of the National Welfare Rights Organization","broke up a social workers' convention and held 1500 delegates captive for 45 minutes while they presented a list of demand and solicted contributions; handed out leaflets and chanted ""Power to the People""","Grand Ballroom of the New York Hilton Hotel","delegates of the social workers' convention","","described themselves as a new social-welfare workers' movement",1,"1",21,1,"NY","","","",1,"NEW YORK","",NA,"",1,300,NA,1,100,1800,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1325,2,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,60,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1302
"23571","KATELIN ISAACS",2002-05-11,"NYT",12,5,1995,12,4,1995,1,9512011,1,"AS ABUSE CASE DETAILS EMERGE, A MEMO HARSHLY ASSAILS AGENCY",0,"CONCERNED PEOPLE","HELD A VIGIL","OUTSIDE OFFICES OF CHILD WELFARE ADMINISTRATION IN LOWER MANHATTAN","CHILD WELFARE ADMINISTRATION","TO REMEMBER THE DEATH BY ABUSE OF ELISA IZQUIERDO AND THE ADMINISTRATIONS LACK O","COLLECTIVE, CLAIMS MADE, PUBLIC",1,"A",21,1,"NY","","","",1,"NEW YORK","",1,"MANHATTAN",1,40,NA,1,1800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1335,2,1338,2,NA,NA,NA,NA,3,NA,NA,NA,4,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1207
"19894","BELINDA SICHULA",2002-04-19,"NYT",8,11,1988,8,7,1988,1,8808021,6,"LESSONS OF 60S FORGOTTEN IN PARK RIOT",0,"RESIDENTS","DEMONSTRATION ESCALATED TO RIOT WITH PROTESTER AND POLICE VIOLENCE","TOMKINS SQUARE PARK NYC, NY (MANHATTANS EAST VILLAGE)","GOVT","PROTESTING MAYOR KOCHS DECISION TO CLOSE THE PARK DURING THE NIGHT, STARTING AT 1AM","COLLECTIVE, CLAIMS MADE, PUBLIC",22,"B",25,1,"NY","","","",1,"NEW YORK","",1,"TOMPKINS SQUARE PARK",1,250,NA,1,1500,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,"","","","",1340,1,1338,2,NA,NA,NA,NA,12,NA,NA,NA,55,59,20,NA,1,4,0,1,1,1,1,0,9,NA,0,NA,1,0,"",NA,31,0,NA,NA,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207
"22888","KRISTY",2002-03-30,"NYT",6,13,1994,6,12,1994,1,9406026,1,"SENATE LEADER BACKS UNIONS PROTESTING WHITMANS BUDGET",0,"THOUSANDS OF TEACHERS AND UNION MEMBERS","RALLY","TRENTON, NJ","STATE","PROTEST CUT IN PENSION CONTRIBUTIONS FOR TEACHERS","COLLECTIVE, CLAIMS MADE, PUBLIC",1,"B",27,1,"NJ","","","",1,"TRENTON","",NA,"",1,30000,NA,2,1200,NA,100,NA,NA,NA,1,1,1,NA,NA,NA,1,2,"NEW JERSEY EDUCATION ASSOCIATION","COMMUNICATIONS WORKERS OF AMERICA","","",1400,1,1338,2,NA,NA,NA,NA,1,NA,NA,NA,99,NA,NA,NA,0,NA,1,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504
"12178","KRISTY KAPTUR",2000-11-20,"NYT",1,29,1976,NA,NA,1975,NA,7601131,1,"ELDERLY IN ARIZONA TOWN FIGHT TO KEEP CHILDREN OUT",0,"ELDERLY RESIDENTS","LOBBIED FOR LEGISLATION","YOUNGSTOWN, AZ","","PUT LEGISLATION THAT GIVES COMMUNITIES THE RIGHT TO INCLUDE RESTRICITVE COVENANTS IN PROPERTY DEEDS BANNING CHILDREN","COLLECTIVE, CLAIMS MADE, PUBLIC",31,"1",30,1,"AZ","","","",1,"YOUNSTOWN","",NA,"",0,NA,4,1,1500,900,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"","","","",1300,1,2900,1,NA,NA,NA,NA,9,NA,NA,NA,40,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300
"9928","CECIL ARGUE",NA,"NYT",3,26,1972,3,25,1972,1,7203036,1,"30000 Many of the Children Protest Nixon Welfare Policie",0,"30,000 people","Marched, demonstrated","Washington, D.C.","'President Nixon and Administration policies on welfare, education, and child care'","","Collective unconventional activity.",21,"1",17,1,"DC","","","",1,"WASHINGTON","",NA,"",1,30000,NA,3,700,1800,500,600,1800,NA,1,1,1,NA,NA,NA,1,1,"NATIONAL WELFARE RIGHTS ORGANIZATION","","","",1325,1,1342,3,1338,2,NA,NA,2,1,NA,NA,22,36,27,20,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1302
"9238","RHONDA CARROLL",NA,"NYT",5,7,1971,5,6,1971,1,7105050,5,"Protestors of School Fund Cuts Tie Up Traffic in E Harlem",0,"School Supervisors, teachers, and 1200 pupils from Public School 146","paraded through the neigborhood","in Bronx, New York","'to protest budget cuts for schools and city services. Agaisnt state gov't to stop cuts. '","","Collective action",22,"1",18,1,"NY","","","",1,"NEW YORK","",1,"BRONX",1,1200,NA,3,800,NA,100,NA,100,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1342,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,22,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600
"21726","MADISON BELL",2006-12-02,"NYT",12,19,1991,12,18,1991,1,9112054,1,"DEER-HUNT PROTESTERS SEIZED IN NEW JERSEY",0,"ANIMAL RIGHTS ACTIVISTS, RESIDENTS","MARCHED INFRONT OF A  MUNICIPAL BUILDING","NEW JERSEY"," THE TOWNSHIPS DECISION TO RESUME DEER HUNTING","TO PROTEST THE DEER HUNTING BAN'S LIFT","COLLECTIVE, CLAIMS MADE, PUBLIC",7,"B",5,1,"NJ","","","",1,"PRINCETON","",NA,"",0,NA,2,2,1500,NA,1800,NA,NA,NA,1,1,1,NA,NA,NA,1,1,"NEW JERSEY ANIMAL RIGHTS ALLIANCE","","","",1350,1,2600,NA,NA,NA,NA,NA,4,5,NA,NA,20,45,4,NA,0,NA,0,1,1,1,0,0,7,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,709
"4628","MIKE MULCAHY",NA,"NYT",1,9,1966,1,8,1966,1,6601023,1,"war opponents attacked",0,"young americans for freedom","rally","washington dc","anti-vietnam war movement","protest anti-war movement","COLLECTIVE, CLAIMS MADE, PUBLIC",3,"1",2,1,"DC","","","",1,"WASHINGTON","",NA,"",0,NA,4,1,1800,1000,NA,NA,NA,NA,1,1,6,NA,NA,NA,1,1,"young americans for freedom","","","",711,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,27,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1619
"17563","amanda",2002-07-30,"NYT",5,17,1984,NA,NA,1983,1,8405038,1,"judge bars outdoor test of genetic engineering",1,"environmentalists","filed suit","washington dc","national institute of health","block release of genetically engineered bacteria into outdoors","COLLECTIVE, CLAIMS MADE, PUBLIC",20,"1",14,0,"","","","",0,"","",NA,"",1,7,NA,1,1800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1100,1,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,97,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700
"19366","LAURA TACH",2003-12-11,"NYT",7,15,1987,7,14,1987,1,8707029,1,"VALLONE RETRACTS NOMINEE AFTER PROTEST",0,"AIDS AND GAY RIGHTS GROUPS","PROTESTED NOMINATION OF CITY OFFICIAL","NEW YORK CITY","GOVERNMENT OFFICIAL","PROTEST POSITIONS ON MANDATORY AIDS TESTING AND QUARANTINES","COLLECTIVE, CLAIMS MADE, PUBLIC",3,"2",22,1,"NY","","","",1,"NEW YORK","",NA,"",0,NA,2,1,1800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,"THE COALITION FOR LESBIAN AND GAY RIGHTS","","","",1600,1,1336,2,NA,NA,NA,NA,15,NA,NA,NA,34,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202
"20879","LAUREN",2002-11-11,"NYT",5,20,1990,5,NA,1990,1,9005085,1,"BRINGING BACK THE 60S: A RETRO SHANTY TOWN",0,"100 STUDENTS","HELD RALLY","EAST LANSING, MICH - MICH STATE","","SUPPORT SHANTY TOWN","COLLECTIVE, CLAIMS MADE, PUBLIC",43,"1",15,1,"MI","","","",1,"EAST LANSING","",1,"MICHIGAN STATE",1,100,NA,1,800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1400,3,NA,NA,NA,NA,NA,NA,1,2,NA,NA,22,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,601
"8224","STEPHANIE",NA,"NYT",2,22,1970,2,21,1970,1,7002032,1,"30 trial protestors seized in new haven",0,"over 500 protestors","demonstrated","downtown  new haven, ct","'in support of the 7 defenders in the chicago conspiracy trial'","","collective, grassroots, had claim",43,"1",4,1,"CT","","","",1,"NEW HAVEN","",NA,"",1,500,NA,2,1800,NA,700,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,"","","","",1334,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,48,56,62,NA,1,5,0,1,1,1,1,0,30,NA,1,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209
"20369","jamie reamer",2001-08-11,"NYT",7,13,1989,NA,NA,1989,1,8907040,1,"Some in N.R.A. Seek expulsion of bush",1,"members of N.R.A (although not yet endorsed by NRA","circulating petitions to oust President Bush from the NRA","","President Bush","protest that he banned importation of semi-automatic rifles","COLLECTIVE, CLAIMS MADE, PUBLIC",13,"A",8,20,"AK","","","",1,"ANCHORAGE","",NA,"",0,NA,2,1,1800,NA,NA,NA,NA,NA,1,1,6,NA,NA,NA,0,NA,"","","","",1337,2,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,18,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1211
"14151","STEPHANIE",2001-04-02,"NYT",4,30,1979,4,29,1979,1,7904140,1,"280 SEIZED AT RALLY AT A NUCLEAR PLANT",0,"3000-5000 PROTESTERS","RALLY","SAUGERTIES, NY","FUTURE NUCLEAR PLANTS","OPPOSE NUCLEAR PLANTS","COLLECTIVE, CLAIMS MADE, PUBLIC",8,"D",12,1,"NY","","","",1,"SUGARTIES","",NA,"",1,3000,NA,1,1800,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,0,NA,"","","","",200,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,99,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801
"15783","MEGHAN PAULES",2001-02-06,"NYT",3,22,1981,3,16,1981,1,8103057,1,"OUTCRY OVER RAPE CASE ACQUITTAL PROMPTS HEARING ON HAWAII LAW",0,"MEN AND WOMEN","PROTEST: CHANTING AND SIGNS","STATE CAPITAL IN HAWAII","LEGISLATORS","PROTEST VERDICT IN RAPE CASE AND LAWS CONCERNING RAPE","COLLECTIVE, CLAIMS MADE, PUBLIC",54,"1",13,1,"HI","","","",1,"HONOLULU","",NA,"",1,1000,NA,2,500,1800,600,1800,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",604,1,1337,2,1343,1,NA,NA,98,NA,NA,NA,20,28,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202
"9992","CECIL ARGUE",NA,"NYT",4,26,1972,4,25,1972,17,7204061,8,"14 Hurt As Police Charge Students On Columbia Lawn",0,"50-100 students","take-over of 3 buildings","columbia univeristy","columbia university, for involvement in vietnam","","collective unconventional activity to protest",1,"1",97,1,"NY","","","",1,"NEW YORK","",NA,"",0,NA,3,1,800,1800,NA,NA,NA,NA,1,2,3,1,NA,NA,0,NA,"","","","",711,1,1342,3,1318,1,1000,1,5,NA,NA,NA,60,NA,NA,NA,0,NA,1,1,1,1,1,0,2,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1619
"13223","BELINDA SICHULA",2001-12-09,"NYT",12,6,1977,12,5,1977,1,7712013,1,"ADMINISTRATION HINTS IT MAY HELP GAS CONSUMERS ON PRICE PETITION",0,"NATURAL GAS CONSUMERS COALITION","PETITION","WASHINGTON, DC","FEDERAL ENGERY REGULATORY COMMISSION","TO END DISCRIMINATION IN GAS REGULATION BY BRINGING INTRASTATE GAS UNDER FEDERAL REGULATION","COLLECTIVE, CLAIMS MADE, PUBLIC",63,"1",13,1,"DC","","","",1,"WASHINGTON","",NA,"",0,NA,4,1,1000,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,4,"NATURAL GAS CONSUMERS COALITION","ENERGY ACTION","CONGRESS WATCH","CONSUMER FREEDOM OF AMERICA",1330,1,1338,2,NA,NA,NA,NA,9,NA,NA,NA,18,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1525
"20385","Jamie Reamer",2001-08-12,"NYT",7,24,1989,7,23,1989,1,8907069,3,"Two men are beaten in park on the east side",0,"12 youth","yelled and assaulted 2 gay men","New york city","homosexual men","homophobia","ETHNIC / RACIAL VIOLENCE",3,"B",20,1,"NY","","","",1,"NEW YORK","",NA,"",1,12,NA,1,700,NA,NA,NA,NA,NA,1,1,6,NA,NA,NA,0,NA,"","","","",2525,1,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,56,55,NA,NA,1,1,0,1,1,0,0,0,5,NA,0,NA,1,0,"",NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,202
"7154","KIM ODONOGUE",NA,"NYT",1,9,1969,1,8,1969,1,6901002,1,"Negro Students Held",0,"Negro students at an all negro high school","Negro students held a demonstration/protest","Sylvester, Georgia","'Against the country's schools to protest the detention of a 14-year old negro girl on charges of dilinquency.'","","Collective, race-related; protesting for a common cause of the release of the girl.",14,"1",7,1,"GA","","","",1,"SYLVESTER","",NA,"",0,NA,2,1,800,401,NA,NA,NA,NA,1,1,3,NA,NA,NA,1,1,"LEGAL DEFENSE FUND","","","",1342,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,59,NA,NA,NA,0,NA,0,1,1,0,0,0,30,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600
"23282","ASHLEY ROOF",2002-05-31,"NYT",4,26,1995,10,NA,1994,1,9504043,1,"JUDGE PROHIBITS CITY FROM EVICTING EAST VILLAGE SQUATTERS",1,"SQUATTERS","SOUGHT A TEMPORARY RESTRAINING ORDER","NEW YORK","NEW YORK CITY","TO ARGUE FOR ""ADVERSE POSSESSION,"" TO PROHIBIT CITY FROM EVICTING THEM FROM BUIL","COLLECTIVE, CLAIMS MADE, PUBLIC",4,"B",16,1,"NY","","","",1,"NEW YORK","",NA,"",0,NA,2,1,1500,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1400,3,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,97,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1406
