"","VOTED98","CONTACT","AGE","MAJORPTY"
"933",0,0,38,1
"934",1,0,50,1
"935",0,0,32,0
"936",0,0,68,1
"937",1,0,84,1
"938",0,0,38,1
"939",0,0,78,1
"940",0,0,31,1
"941",1,1,39,1
"942",1,0,51,1
"943",0,0,68,1
"944",0,0,78,1
"945",1,0,79,1
"946",0,0,37,1
"947",0,0,47,1
"948",1,0,36,1
"949",1,0,45,1
"950",1,0,45,1
"951",0,0,73,1
"952",1,0,37,1
"953",1,0,74,1
"954",0,0,51,1
"955",1,0,50,1
"956",1,0,52,1
"957",0,0,64,0
"958",0,0,29,1
"959",0,0,51,0
"960",1,0,64,1
"961",0,0,60,1
"962",1,0,53,1
"963",0,0,37,1
"964",1,0,41,1
"965",0,0,39,1
"966",1,1,40,1
"967",0,0,72,1
"968",0,0,26,0
"969",1,1,85,1
"970",1,0,76,1
"971",1,0,50,0
"972",1,0,39,1
"973",1,0,77,1
"974",1,0,50,1
"975",1,1,84,1
"976",0,0,79,0
"977",1,0,56,0
"978",0,0,49,1
"979",1,0,71,1
"980",1,0,70,1
"981",1,0,43,1
"982",1,0,40,0
"983",0,0,70,1
"984",1,0,41,1
"985",1,1,68,1
"986",0,0,50,1
"987",0,0,19,0
"988",1,0,40,1
"989",1,0,48,1
"990",0,0,77,0
"991",0,0,29,0
"992",1,0,64,1
"993",1,0,73,1
"994",0,0,44,1
"995",0,0,87,1
"996",1,0,61,1
"997",0,0,25,0
"998",1,0,51,1
"999",1,0,86,1
"1000",0,0,21,1
"1001",0,0,22,1
"1002",1,0,78,1
"1003",1,0,20,1
"1004",0,0,37,1
"1005",1,0,30,0
"1006",0,0,31,1
"1007",1,0,26,0
"1008",1,0,52,1
"1009",1,0,66,1
"1010",1,0,41,1
"1011",0,0,19,0
"1012",0,0,91,0
"1013",1,0,89,0
"1014",1,0,37,0
"1015",1,0,55,1
"1016",0,0,23,0
"1017",0,0,43,1
"1018",1,0,88,1
"1019",1,0,65,1
"1020",1,0,42,1
"1021",0,0,32,1
"1022",0,0,45,0
"1023",0,0,28,0
"1024",1,0,47,1
"1025",1,0,19,0
"1026",0,0,53,1
"1027",0,1,84,1
"1028",1,0,27,1
"1029",0,0,48,1
"1030",0,0,81,1
"1031",0,0,40,1
"1032",1,0,67,1
"1033",1,0,50,1
"1034",1,0,46,1
"1035",0,0,33,0
"1036",1,0,75,1
"1037",0,0,61,1
"1038",0,0,28,1
"1039",1,0,34,0
"1040",0,0,21,0
"1041",1,0,56,1
"1042",0,0,34,1
"1043",1,0,49,1
"1044",1,0,73,1
"1045",0,0,38,1
"1046",0,0,68,1
"1047",0,0,41,1
"1048",0,0,49,1
"1049",0,0,38,1
"1050",0,0,26,1
"1051",0,0,49,1
"1052",1,0,47,0
"1053",1,0,47,1
"1054",1,0,73,1
"1055",0,0,49,1
"1056",1,0,63,1
"1057",1,0,34,1
"1058",0,0,94,1
"1059",0,1,59,1
"1060",1,0,43,1
"1061",0,0,27,1
"1062",1,1,27,0
"1063",0,0,76,1
"1064",1,0,59,1
"1065",0,0,84,1
"1066",0,0,26,0
"1067",0,0,91,1
"1068",0,0,57,0
"1069",1,0,26,1
"1070",1,0,39,1
"1071",0,0,40,0
"1072",0,0,57,1
"1073",1,0,55,1
"1074",0,0,27,0
"1075",0,0,75,1
"1076",1,0,56,0
"1077",1,0,86,0
"1078",0,0,70,1
"1079",1,0,85,1
"1080",1,0,49,0
"1081",0,0,27,0
"1082",1,0,48,1
"1083",1,0,73,1
"1084",0,0,75,1
"1085",0,0,25,0
"1086",0,0,49,1
"1087",0,0,29,1
"1088",1,0,58,0
"1089",1,0,45,1
"1090",0,0,62,1
"1091",0,0,48,1
"1092",1,0,72,1
"1093",0,0,30,1
"1094",0,0,54,1
"1095",0,0,37,1
"1096",1,0,39,1
"1097",0,0,77,1
"1098",1,0,34,0
"1099",0,0,35,1
"1100",1,1,39,1
"1101",1,0,77,0
"1102",0,0,77,1
"1103",0,0,59,1
"1104",1,0,39,1
"1105",1,0,73,0
"1106",1,0,62,0
"1107",0,0,25,1
"1108",0,0,36,1
"1109",0,0,52,1
"1110",0,0,30,0
"1111",0,0,84,1
"1112",0,0,30,1
"1113",0,0,82,1
"1114",0,0,70,1
"1115",0,0,40,0
"1116",0,0,76,1
"1117",0,0,26,1
"1118",1,0,40,1
"1119",1,0,81,1
"1120",0,0,61,1
"1121",0,1,55,0
"1122",0,0,54,1
"1123",0,0,53,0
"1124",0,0,46,1
"1125",1,0,41,1
"1126",0,0,32,0
"1127",0,0,93,1
"1128",1,0,30,1
"1129",0,0,29,0
"1130",0,0,81,1
"1131",0,0,58,1
"1132",0,0,35,1
"1133",0,1,49,0
"1134",1,0,54,1
"1135",1,0,38,1
"1136",1,0,45,1
"1137",0,0,36,1
"1138",0,0,29,1
"1139",0,0,22,1
"1140",1,0,45,1
"1141",0,0,21,1
"1142",0,0,22,1
"1143",0,0,31,1
"1144",0,0,77,0
"1145",0,0,49,1
"1146",1,0,59,1
"1147",1,0,53,1
"1148",0,0,68,1
"1149",1,0,50,1
"1150",0,0,49,1
"1151",0,0,37,1
"1152",0,0,87,0
"1153",1,0,77,1
"1154",0,0,28,1
"1155",0,0,51,1
"1156",0,0,42,0
"1157",1,0,77,1
"1158",0,0,75,0
"1159",0,0,88,1
"1160",1,0,45,1
"1161",0,0,43,1
"1162",0,0,52,0
"1163",0,0,35,1
"1164",0,0,21,0
"1165",1,0,51,0
"1166",0,0,90,1
"1167",1,0,79,1
"1168",1,0,67,1
"1169",1,0,42,1
"1170",0,0,25,0
"1171",0,0,38,1
"1172",1,0,47,1
"1173",0,0,42,1
"1174",1,0,74,0
"1175",0,0,40,1
"1176",1,1,48,1
"1177",0,0,81,1
"1178",0,0,35,0
"1179",1,0,78,1
"1180",1,0,67,1
"1181",0,0,34,1
"1182",0,0,57,1
"1183",0,0,32,1
"1184",0,0,38,1
"1185",1,0,39,0
"1186",1,0,59,1
"1187",1,0,41,0
"1188",1,0,48,1
"1189",0,0,24,0
"1190",1,0,27,1
"1191",0,0,52,1
"1192",0,0,23,0
"1193",0,0,50,1
"1194",1,0,49,1
"1195",0,0,49,0
"1196",1,1,59,1
"1197",0,0,19,0
"1198",1,0,71,0
"1199",0,0,35,0
"1200",0,0,52,1
"1201",1,0,32,1
"1202",0,0,66,0
"1203",0,0,83,1
"1204",1,0,45,1
"1205",0,0,33,1
"1206",1,0,36,1
"1207",1,1,64,1
"1208",0,0,62,0
"1209",0,0,41,1
"1210",1,0,66,1
"1211",1,0,29,1
"1212",0,0,38,0
"1213",1,0,33,1
"1214",0,0,23,0
"1215",1,0,53,1
"1216",1,0,78,1
"1217",0,0,43,1
"1218",0,0,31,1
"1219",1,0,85,1
"1220",0,0,67,1
"1221",0,0,47,1
"1222",0,0,54,1
"1223",1,0,59,1
"1224",0,0,76,1
"1225",0,0,84,1
"1226",0,0,64,1
"1227",0,0,36,1
"1228",1,0,47,0
"1229",0,0,43,0
"1230",1,0,63,1
"1231",0,0,27,1
"1232",1,0,46,1
"1233",1,0,91,1
"1234",0,0,27,0
"1235",0,0,21,0
"1236",1,0,32,1
"1237",0,0,46,0
"1238",1,1,35,1
"1239",1,0,43,1
"1240",0,0,57,1
"1241",1,0,33,1
"1242",1,0,43,1
"1243",1,0,91,1
"1244",1,1,43,0
"1245",1,0,69,1
